##################################################################################
# Grid of water world sub-Neptune atmospheric escape models 
#   wind-ae (Broome+2025)
#
# Atmosphere Composition
#  HI: 1.12e-01
#  OI: 8.88e-01
#
# Parameters:
#   Mp: planet mass (M_earth)
#   Rp: planet radius (R_earth)
#   grav: planet gravity (m/s^2)
#   Teq: equilibrium temperature (K)
#   a: semi-major axis (au)
#   Fxuv: total XUV flux at planet's orbit (Fuv_earth)
#   mstar: stellar mass (Msun)
#   lstar: stellar luminosity (Lsun)
#   Mdot: atmospheric mass-loss rate (kg/s)
#   Mdot_OW17: atmospheric mass-loss rate from Owen & Wu 2017 (kg/s) [IGNORE FOR NOW]
#   ramp_to: 0- ramp success, else- ramp failed
#   run_wind: sim.run_wind() output. 0- wind launched, else- wind failed
#   rochelim: 0- planet outside Roche limit, 1- planet within Roche limit
#
# Created: November 03, 2025
# Units: SI, astronomical
# Pure H2O atmosphere, no conductive or bolometric heat/cool, static bcs.
##################################################################################

Mp	Rp	grav	Teq	a	Fxuv	mstar	lstar	Mdot	MdotOW17	ramp_to	run_wind	rochelim
0.20000	0.61678	5.150000	1225	0.01562	2.36354e+03	0.550	0.09151	0.00000e+00	4.47064e+08	10	1	1
0.20000	0.61678	5.150000	1225	0.05162	7.33145e-02	1.000	1.00000	1.30161e+04	3.07062e+07	1	0	0
0.20000	0.61678	5.150000	1225	0.05162	9.82388e-01	1.000	1.00000	1.58269e+05	3.07062e+07	1	0	0
0.20000	0.61678	5.150000	1225	0.05162	1.31636e+01	1.000	1.00000	1.37038e+06	3.07062e+07	1	0	0
0.20000	0.61678	5.150000	1225	0.05162	1.76388e+02	1.000	1.00000	5.94499e+06	3.07062e+07	1	0	0
0.20000	0.61678	5.150000	1225	0.05162	2.36354e+03	1.000	1.00000	2.23300e+07	3.07062e+07	1	0	0
0.20000	0.61678	5.150000	1500	0.00117	7.33145e-02	0.100	0.00115	0.00000e+00	8.33909e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.00117	9.82388e-01	0.100	0.00115	0.00000e+00	8.33909e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.00117	1.31636e+01	0.100	0.00115	0.00000e+00	8.33909e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.00117	1.76388e+02	0.100	0.00115	0.00000e+00	8.33909e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.00117	2.36354e+03	0.100	0.00115	0.00000e+00	8.33909e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.00289	7.33145e-02	0.220	0.00707	0.00000e+00	1.34920e+12	10	1	1
0.20000	0.61678	5.150000	1500	0.00289	9.82388e-01	0.220	0.00707	0.00000e+00	1.34920e+12	10	1	1
0.20000	0.61678	5.150000	1500	0.00289	1.31636e+01	0.220	0.00707	0.00000e+00	1.34920e+12	10	1	1
0.20000	0.61678	5.150000	1500	0.00289	1.76388e+02	0.220	0.00707	0.00000e+00	1.34920e+12	10	1	1
0.20000	0.61678	5.150000	1500	0.00289	2.36354e+03	0.220	0.00707	0.00000e+00	1.34920e+12	10	1	1
0.20000	0.61678	5.150000	1500	0.00414	7.33145e-02	0.300	0.01442	0.00000e+00	4.11515e+10	10	1	1
0.20000	0.61678	5.150000	1500	0.00414	9.82388e-01	0.300	0.01442	0.00000e+00	4.11515e+10	10	1	1
0.20000	0.61678	5.150000	1500	0.00414	1.31636e+01	0.300	0.01442	0.00000e+00	4.11515e+10	10	1	1
0.20000	0.61678	5.150000	1500	0.00414	1.76388e+02	0.300	0.01442	0.00000e+00	4.11515e+10	10	1	1
0.20000	0.61678	5.150000	1500	0.00414	2.36354e+03	0.300	0.01442	0.00000e+00	4.11515e+10	10	1	1
0.20000	0.61678	5.150000	1500	0.01041	7.33145e-02	0.550	0.09151	0.00000e+00	1.33436e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.01041	9.82388e-01	0.550	0.09151	0.00000e+00	1.33436e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.01041	1.31636e+01	0.550	0.09151	0.00000e+00	1.33436e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.01041	1.76388e+02	0.550	0.09151	0.00000e+00	1.33436e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.01041	2.36354e+03	0.550	0.09151	0.00000e+00	1.33436e+09	10	1	1
0.20000	0.61678	5.150000	1500	0.03443	7.33145e-02	1.000	1.00000	1.30161e+04	7.45554e+07	1	0	0
0.20000	0.61678	5.150000	1500	0.03443	9.82388e-01	1.000	1.00000	1.58269e+05	7.45554e+07	1	0	0
0.20000	0.61678	5.150000	1500	0.03443	1.31636e+01	1.000	1.00000	1.37038e+06	7.45554e+07	1	0	0
0.20000	0.61678	5.150000	1500	0.03443	1.76388e+02	1.000	1.00000	5.94499e+06	7.45554e+07	1	0	0
0.20000	0.61678	5.150000	1500	0.03443	2.36354e+03	1.000	1.00000	2.23300e+07	7.45554e+07	1	0	0
0.20000	0.52019	7.240000	400	0.01644	7.33145e-02	0.100	0.00115	2.73029e+03	2.96036e+07	0	0	0
0.20000	0.52019	7.240000	400	0.01644	9.82388e-01	0.100	0.00115	3.50032e+04	2.96036e+07	0	0	0
0.20000	0.52019	7.240000	400	0.01644	1.31636e+01	0.100	0.00115	3.60544e+05	2.96036e+07	0	0	0
0.20000	0.52019	7.240000	400	0.01644	1.76388e+02	0.100	0.00115	2.00959e+06	2.96036e+07	0	0	0
0.20000	0.52019	7.240000	400	0.01644	2.36354e+03	0.100	0.00115	6.01948e+06	2.96036e+07	0	0	0
0.20000	0.52019	7.240000	400	0.04070	7.33145e-02	0.220	0.00707	2.49505e+03	2.16717e+07	0	0	0
